swmm_id,override_type,user_value,applied_ac,instruction
J_36,AC,403.855,403.855,
J_55,AC,401.505,401.505,
J_65_2,AC,394.346,394.346,
J_65_25,AC,393.785,393.785,
J_65_3,AC,392.05,392.05,
J_68,AC,392.179,392.179,
J_68_05,AC,391.682,391.682,
J_71_2,AC,387.008,387.008,
J_71_3,AC,386.95,386.95,
J_71_4,AC,386.916,386.916,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_101,AC,391.167,391.167,
J_101_1,AC,390.05,390.05,
J_102,AC,388.836,388.836,
J_102_1,AC,388.747,388.747,
J_102_2,AC,388.7248904,388.7248904,
J_102_3,AC,388.724316,388.724316,
J_102_4,AC,388.3708372,388.3708372,
J_103,AC,390.6435498,390.6435498,
J_103_1,AC,388.5278751,388.5278751,
J_103_2,AC,388.4688403,388.4688403,
J_103_3,AC,388.1202852,388.1202852,
J_103_4,AC,387.9344405,387.9344405,
J_103_5,AC,387.8910701,387.8910701,
J_104,AC,387.8112902,387.8112902,
J_105,AC,389.8392905,389.8392905,
J_105_1,AC,389.7688189,389.7688189,
J_105_2,AC,388.6113941,388.6113941,
J_105_3,AC,388.5887223,388.5887223,
J_105_4,AC,388.5777222,388.5777222,
J_106,AC,387.8635149,387.8635149,
J_107,AC,387.2048628,387.2048628,
J_108,AC,386.6791169,386.6791169,
J_108_1,AC,386.6667153,386.6667153,
J_108_2,AC,386.6685968,386.6685968,
J_108_3,AC,386.6577781,386.6577781,
J_108_4,AC,386.648701,386.648701,
J_109,AC,387.534481,387.534481,
J_109_1,AC,387.5007127,387.5007127,
J_109_2,AC,386.8528768,386.8528768,
J_110,AC,386.4861422,386.4861422,
J_110_1,AC,386.6071816,386.6071816,
J_110_2,AC,386.3937811,386.3937811,
J_110_3,AC,386.242132,386.242132,
J_113_2,AC,388.6198822,388.6198822,
J_114,AC,388.8411782,388.8411782,
J_114_1,AC,388.8558119,388.8558119,
J_114_2,AC,388.8076723,388.8076723,
J_116,AC,387.1513288,387.1513288,
J_134,AC,382.8316003,382.8316003,
J_84,AC,401.5410334,401.5410334,
J_84_1,AC,401.4107015,401.4107015,
J_89,AC,395.1018857,395.1018857,
J_91,AC,396.9989417,396.9989417,
J_95_1,AC,388.4461105,388.4461105,
J_96_1,AC,383.8942858,383.8942858,
J_97,AC,383.8848267,383.8848267,
J_97_1,AC,383.7436646,383.7436646,
J_99,AC,383.9636331,383.9636331,"WARNING: J_99 SHOULD BE UPSTREAM OF J_100, YOU SHOW IT BACKWARDS IN DOWNSTREAM TARGET COLUMN. "
J_136,AC,388.7924045,388.7924045,
J_136_1,AC,388.8062155,388.8062155,
J_136_2,AC,388.7515878,388.7515878,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_3,AC,388.7402901,388.7402901,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_4,AC,388.7125375,388.7125375,
J_136_5,AC,388.6993084,388.6993084,
J_136_6,AC,388.3618483,388.3618483,
J_136_7,AC,387.7296975,387.7296975,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_8,AC,387.5984764,387.5984764,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
J_136_9,AC,387.5512424,387.5512424,
J_137,AC,387.5871667,387.5871667,
J_137_1,AC,387.1259922,387.1259922,
J_137_2,AC,387.1081922,387.1081922,WARNING: THIS JUNCTION WAS MISSING FROM YOUR AUDIT BUT IS ALSO MISSING IT'S AC VALUE. SEE USER_SUPPLIED_AC
