swmm_id,basin_index,source_row,downstream_target,branch_logic_rows_affected,whether_topology_upstream_downstream_is_otherwise_valid
J_101,2,332,J_101|J_101_1,156|157,true
J_101_1,2,335,J_101_1|J_107,137|156,true
J_102,2,339,J_102|J_102_1,154|155,true
J_102_1,2,341,J_102_1|J_102_3,152|154,true
J_102_2,2,344,J_102_2|J_102_3,152|153,true
J_102_3,2,345,J_102_3|J_102_4,151|152,true
J_102_4,2,347,J_102_4|J_103_3,147|151,true
J_103,2,352,J_103|J_103_2,148|150,true
J_103_1,2,356,J_103_1|J_103_2,148|149,true
J_103_2,2,357,J_103_2|J_103_3,147|148,true
J_103_3,2,358,J_103_3|J_103_4,146|147,true
J_103_4,2,361,J_103_4|J_104,144|146,true
J_103_5,2,364,J_103_5|J_104,144|145,true
J_104,2,365,J_104|J_107,137|144,true
J_105,2,369,J_105|J_105_1,142|143,true
J_105_1,2,371,J_105_1|J_105_4,139|142,true
J_105_2,2,375,J_105_2|J_105_4,139|141,true
J_105_3,2,379,J_105_3|J_105_4,139|140,true
J_105_4,2,380,J_105_4|J_106,138|139,true
J_106,2,383,J_106|J_107,137|138,true
J_107,2,384,J_107|J_108_4,132|137,true
J_108,2,388,J_108|J_108_1,135|136,true
J_108_1,2,390,J_108_1|J_108_4,132|135,true
J_108_2,2,394,J_108_2|J_108_3,133|134,true
J_108_3,2,396,J_108_3|J_108_4,132|133,false
J_108_4,2,397,J_108_4|J_110,128|132,true
J_109,2,401,J_109|J_109_1,130|131,true
J_109_1,2,403,J_109_1|J_109_2,129|130,false
J_109_2,2,406,J_109_2|J_110,128|129,true
J_110,2,407,J_110|J_110_2,126|128,true
J_110_1,2,411,J_110_1|J_110_2,126|127,false
J_110_2,2,412,J_110_2|J_110_3,125|126,true
J_110_3,2,415,J_110_3|J_111,124|125,true
J_113_2,2,428,J_113_2|J_115,116|120,true
J_114,2,432,J_114|J_115,116|119,true
J_114_1,2,435,J_114_1|J_114_2,117|118,true
J_114_2,2,437,J_114_2|J_115,116|117,true
J_116,2,441,J_116|J_117,114|115,true
J_134,2,484,J_134|O_134,95|96,true
J_136,5,500,J_136|J_136_6,231|237,true
J_136_1,5,503,J_136_1|J_136_2,235|236,false
J_136_4,5,509,J_136_4|J_136_5,232|233,false
J_136_5,5,511,J_136_5|J_136_6,231|232,true
J_136_6,5,512,J_136_6|J_136_7,230|231,false
J_136_9,5,520,J_136_9|J_137_2,225|228,false
J_137,5,524,J_137|J_137_1,226|227,true
J_137_1,5,526,J_137_1|J_137_2,225|226,false
J_36,1,105,J_36|J_37,54|55,true
J_55,1,151,J_55|J_57,35|36,true
J_65_2,1,171,J_65_2|J_65_25,28|29,false
J_65_25,1,173,J_65_25|J_65_3,27|28,true
J_65_3,1,174,J_65_3|J_69,23|27,false
J_68,1,178,J_68|J_68_05,24|25,false
J_68_05,1,179,J_68_05|J_69,23|24,true
J_71_2,1,206,J_71_2|J_71_4,12|14,false
J_71_3,1,209,J_71_3|J_71_4,12|13,false
J_84,2,258,J_84|J_84_1,186|187,true
J_84_1,2,260,J_84_1|J_85,185|186,true
J_89,2,275,J_89|J_95,170|180,true
J_91,2,285,J_91|J_92,176|177,true
J_95_1,2,301,J_95_1|J_95_15,168|169,true
J_96_1,2,314,J_96_1|J_97,162|163,true
J_97,2,316,J_97|J_97_1,161|162,true
J_97_1,2,319,J_97_1|J_98,160|161,true
J_99,2,326,J_100|J_99,158|159,true
